title,vote_average,vote_count,release_date,revenue,overview,poster_path,youtubeId
Top Gun,7.0,7710,1986-05-16,356830601,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,xa_z57UatDY
Source Code,7.297,7694,2011-03-30,147332697,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",/faCR2lavXBKeCS6N7STIMDLMCDL.jpg,NkTrG-gpIzE
Ice Age: Dawn of the Dinosaurs,6.737,7680,2009-06-26,886686817,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",/cXOLaxcNjNAYmEx1trZxOTKhK3Q.jpg,dP-xFvTIdNk
Indiana Jones and the Kingdom of the Crystal Skull,5.998,7629,2008-05-21,786636033,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",/56As6XEM1flWvprX4LgkPl8ii4K.jpg,gQT5k8qsI34
Sin City,7.4,7541,2005-04-01,158733820,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",/i66G50wATMmPrvpP95f0XP6ZdVS.jpg,YKFLrTYKIXk
Snow White and the Huntsman,5.982,7503,2012-05-30,396600000,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",/8yKdQHaqOo1lkaErmqMuYFespYI.jpg,VY67V0wOlz8
Apocalypse Now,8.282,7485,1979-08-15,150000000,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",/eQVH91OSxh5I2uRfJuw4owd2Fq9.jpg,yafLm-ByQWo
22 Jump Street,6.842,7460,2014-06-05,331333876,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,qP755JkDxyM
Chappie,6.776,7438,2015-03-04,104399548,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",/hpnuXlKKWznTgbheGe4iQXzkuwJ.jpg,HhNshgSYF_M
Pride & Prejudice,8.083,7394,2005-09-16,121616555,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,cTZAzVzFShw
Fantastic Four: Rise of the Silver Surfer,5.592,7381,2007-06-13,301913131,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",/f3ldtPF7SESMcyAIyIJHBLlBBkr.jpg,ZN7PWE2dyAY
Quantum of Solace,6.314,7317,2008-10-29,589580482,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,BBqYaFEWBxI
Predator,7.506,7265,1987-06-12,98267558,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,/9XibNLfmUWCg0PPydmyoCl1KxvF.jpg,K9AT3tQGbIk
The Lego Movie,7.418,7233,2014-02-06,469160692,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",/9klB7qKC9aCeGyyM4uU5hSA6xDV.jpg,lPnY2NjSjrg
Scott Pilgrim vs. the World,7.469,7155,2010-08-12,48000000,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,7wd5KEaOtm4
Rocky,7.8,7135,1976-11-21,225250402,An uneducated collector for a Philadelphia loan shark is given a once-in-a-lifetime opportunity to fight against the world heavyweight boxing champion.,/cqxg1CihGR5ge0i1wYXr4Rdeppu.jpg,3VUblDwa648
Cars 2,6.08,7115,2011-06-11,559852396,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,wmd-qmO_wFI
Percy Jackson & the Olympians: The Lightning Thief,6.21,6964,2010-02-01,226497209,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",/vayx5t1cYCpBGV9ylTGn0Sr9rA2.jpg,xko1Mx5w4tg
Coraline,7.854,6950,2009-02-05,124600000,"A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,Js7wxoqeVK0
Hot Fuzz,7.554,6929,2007-02-14,80573774,"As a former London constable, Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,ayTnvVpj9t4
Snow White and the Seven Dwarfs,7.116,6840,1937-12-21,184925486,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",/9QKUh9UuIIT2ZA9Rby9R6vtNRKa.jpg,O0FYU0DnfAc
American Hustle,6.848,6821,2013-12-03,251171807,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",/koXGRfatN0tURFWMA0Keb0p0Gtg.jpg,3PR2lDTpRak
Life,6.423,6811,2017-03-22,100541806,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",/wztfli5NgYDgurVgShNflvnyA3Z.jpg,_0LkiWPmnns
Green Lantern,5.167,6806,2011-06-14,219851172,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,W7w07MLhhb4
Hugo,7.171,6763,2011-11-22,185770160,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg,Hv3obL9HqyY
Dark Shadows,6.044,6754,2012-05-09,245527149,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,/d7A9pVX8OSWMSSjPBsIc1jAMP0y.jpg,4cVcpz8H3Pk
Juno,7.048,6736,2007-12-05,232372681,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,K0SKf0K3bxg
Ocean's Twelve,6.564,6721,2004-12-09,362744280,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",/Ad55M8newGWemFWCsMAkxO3fDwl.jpg,YqcQv3dt_hY
8 Mile,7.124,6692,2002-11-08,242875078,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,idBm6OKzkAE
Cloud Atlas,6.884,6657,2012-10-26,130482868,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",/8naVv2Xu3rWI5JKHz0vCujx6GaJ.jpg,6kkLxrhYxnc
Superbad,7.229,6620,2007-03-20,170812526,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,/ek8e8txUyUwd2BNqj6lFEerJfbq.jpg,c1JKWi7Mc8U
Constantine,7.063,6521,2005-02-08,230884728,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",/vPYgvd2MwHlxTamAOjwVQp4qs1W.jpg,oU4moy3Wz4c
Click,6.3,6518,2006-06-23,240685326,"A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",/oL0k5JA53PyoHSZqKb3cNkhwBCE.jpg,APUqyhgtCfk
Little Miss Sunshine,7.677,6508,2006-07-26,100523181,"A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.",/tFnTds88mCuLcLPBseK1kF2E3qv.jpg,VWyH_twcMl0
Children of Men,7.605,6495,2006-09-22,70595464,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",/k9IAS4TehZFcKi4HVByxZNPfqex.jpg,2VT2apoX90o
Jack Reacher,6.607,6486,2012-12-20,218340595,"When a gunman takes five lives with six shots, all evidence points to the suspect in custody. On interrogation, the suspect offers up a single note: ""Get Jack Reacher!"" So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",/uQBbjrLVsUibWxNDGA4Czzo8lwz.jpg,lvQzb1YMdtY
Easy A,6.811,6485,2010-09-16,75026327,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",/pYeY5lBudgWAunG4qlsWCA3PlxM.jpg,KNbPnqyvItk
Brokeback Mountain,7.799,6426,2005-09-10,178043761,"Rodeo cowboy Jack and ranch hand Ennis are hired as sheepherders in 1963 Wyoming. One night on Brokeback Mountain, they spark a physical relationship. Though Ennis marries his longtime sweetheart and Jack marries a fellow rodeo rider, they keep up their tortured, sporadic love affair for 20 years.",/fsbzfe9eLOEl5rJX04nPEr1eoAi.jpg,sCytaMge7bY
Captain Phillips,7.552,6424,2013-10-10,218791811,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",/vjsEi2JytAT76qrtUHPIhXExZAm.jpg,eruwOiHoTTo
Night at the Museum: Battle of the Smithsonian,6.1,6414,2009-05-20,413106170,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",/l9yAQn6TyrA3gv5xZZkiMMoZsiw.jpg,QCR_fgG0ydY
Madagascar: Escape 2 Africa,6.488,6371,2008-10-30,603900354,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",/agRbLOHgN46TQO4YdKR462iR7To.jpg,cSo0k5a0l0w
Kung Fu Panda 2,6.968,6365,2011-05-25,665692281,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg,YdaMGcOyfjM
Seven Pounds,7.613,6362,2008-12-18,168167691,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,/pCVpsCEYtvtlg1I9h3rtglKgThu.jpg,hvu2F6t26hs
Jupiter Ascending,5.433,6353,2015-02-04,183987723,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",/xzQ25m9vrdyvpLX74T3B3KB40Ou.jpg,THVFkk-sEus
Angels & Demons,6.697,6351,2009-05-13,485930816,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati - a secret, underground organization - after four cardinals are kidnapped on the night of the papal conclave.",/hrvNVd0GDeytbDhduWa3SFKmg4A.jpg,ArdNQUUcZOM
Yes Man,6.66,6336,2008-12-09,223241637,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,/16zVbgFLTUaUTG1wQHuGjfWNuDM.jpg,rvpsiIe2vBE
Prince of Persia: The Sands of Time,6.261,6334,2010-05-19,336365676,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",/lkp1GFmWyf7k2WKvKIQuuGyichI.jpg,bZ7Li5w2I-k
Insidious,6.947,6298,2011-03-31,99870886,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",/tmlDFIUpGRKiuWm9Ixc6CYDk4y0.jpg,E1YbOMDI59k
Megamind,6.963,6290,2010-10-28,321885765,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",/uZ9ytt3sPTx62XTfN56ILSuYWRe.jpg,6CJUQr4Vs40
Rise of the Guardians,7.36,6229,2012-11-21,306941670,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",/sW4qOa9yF0Ikg7lppncQ0n5UhKX.jpg,aPLiBxhoug0
Nobody,8.018,6217,2021-03-18,61779301,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,6lIdYQNh26M
Pitch Perfect,7.295,6206,2012-09-28,115400000,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",/ntRIoh8Qf1BI1AYGx0STfq0wUmb.jpg,rIzH7yTvdTE
After Earth,5.191,6205,2013-05-30,243843127,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",/iXMvYIlzzJBs352CfeiQcBvovZt.jpg,CZIt20emgLY
Terminator 3: Rise of the Machines,6.145,6098,2003-07-02,435000000,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",/qAnafzrd9Y5pVTWAP0tSDDMPzTR.jpg,_cEOqHFrQso
Gangs of New York,7.318,6091,2002-12-14,193772504,"In 1863, Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,x5YmI2PW9R8
300: Rise of an Empire,6.093,6055,2014-03-05,337580051,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,jGEERBDelH8
Love Actually,7.1,6047,2003-09-07,244931766,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,H9Z3_ifFheQ
Mamma Mia!,6.966,6024,2008-07-03,609841637,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg,XZAvWkBAhkk
Terminator Salvation,6.0,6009,2009-05-20,371353001,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,Sv6SM0w0B5A
There Will Be Blood,8.085,5985,2007-12-26,77208711,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,f3THVbr4hlY
Rango,6.825,5969,2011-03-02,245724603,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",/oVeRl1SRADz74OrY97usmP1flLV.jpg,k-OOfW6wWyQ
This Is the End,6.222,5941,2013-06-12,126041322,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",/7Wdc3etyBJA4432TYtz6n9GQd1c.jpg,Yma-g4gTwlE
Horrible Bosses,6.565,5940,2011-07-08,209838559,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg,dt0e-TmfPQg
Predestination,7.442,5889,2014-08-28,4942449,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",/38Xr1JnV1ZcLQ55zmdSp6n475cZ.jpg,NfFO_ebkuKU
Ocean's Thirteen,6.72,5859,2007-06-05,311312624,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",/3so07ghzmtbyhpFfzTucEnlfYRO.jpg,YsqZosCj-qw
National Treasure,6.605,5850,2004-11-19,347512318,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg,by2yMNLmCDs
Resident Evil,6.61,5803,2002-03-15,102984862,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",/1UKNef590A0ZaMnxsscIcWuK1Em.jpg,Bkc9c7VXmn8
Gattaca,7.548,5786,1997-09-07,12532777,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",/eSKr5Fl1MEC7zpAXaLWBWSBjgJq.jpg,hWjlUj7Czlk
Annabelle,5.8,5742,2014-10-02,257047661,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,/yLsuU2P2SpDYFwtZQ7dtfVAf6TE.jpg,jdUysoK6tdQ
Lilo & Stitch,7.516,5665,2002-06-21,273144151,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",/d73UqZWyw3MUMpeaFcENgLZ2kWS.jpg,AbM84jGi20U
Contagion,6.636,5663,2011-09-08,137551594,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",/qL0IooP0bjXy0KXl9KEyPo22ll0.jpg,4sYSyuuLk5g
Fantastic Four,4.414,5648,2015-08-05,167977596,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",/oeMpEsjmiT9PEJbRM1Fm7TZ1dE0.jpg,27dZ5mJBnBY
Space Jam,6.835,5608,1996-11-15,250200000,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",/6h3FIr5CQFCBV8Xrv7XZLZbIQR0.jpg,wYbXWzef1RM
Die Hard: With a Vengeance,7.253,5604,1995-05-19,366101666,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",/lwTE6cUhGxRaJvQ5VPdletIGDPh.jpg,gcsk7C7FfQM
Speed,7.12,5603,1994-06-09,350448145,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",/o1Zs7VaS9y2GYH9CLeWxaVLWd3x.jpg,aRmhneo5A48
Bolt,6.5,5582,2008-11-21,309979994,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",/z9VHoUcZ1GiH3f3qYz7Me7Zc1Fd.jpg,shPGYLAOiz8
Grown Ups,6.359,5577,2010-06-24,271430189,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",/cQGM5k1NtU85n4TUlrOrwijSCcm.jpg,bZMyY0WuwyY
Notting Hill,7.259,5558,1999-05-21,363889678,"William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",/fQqfLeD7h4nCXK0N5HEa4dAExk1.jpg,4RI0QvaGoiI
Eyes Wide Shut,7.474,5552,1999-07-16,162100000,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg,yxqrzWe0Ggc
The Lone Ranger,6.089,5528,2013-07-03,260502115,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg,4M3u2gNL0nc
Night at the Museum: Secret of the Tomb,6.2,5495,2014-12-17,363204635,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",/xwgy305K6qDs3D20xUO4OZu1HPY.jpg,Hr1fFMp0MqU
Ghost Rider,5.547,5477,2007-01-15,228738393,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",/8LaVQiXBsnlo7MXCPK1nXTVARUZ.jpg,R1hZNHPVVAQ
