movie_title,cinema_name,date_time
What Just Happened,Silver Screen Cinema,2024-09-16 01:36:09
High Life,CineLux,2024-09-09 22:34:44
Where the Wild Things Are,Silver Screen Cinema,2024-09-19 06:30:57
Your Sister's Sister,Regal Cinema,2024-09-20 00:47:21
Snow Day,Grand View Cinema,2024-09-12 06:53:15
Shampoo,Starlight Theatre,2024-09-23 15:57:10
The Legend of Sarila,Starlight Theatre,2024-09-07 11:22:19
1408,Grand View Cinema,2024-09-26 11:53:49
That's My Boy,Riviera Cinema,2024-09-11 03:24:55
That's My Boy,Silver Screen Cinema,2024-09-21 04:00:07
Leaves of Grass,Regal Cinema,2024-09-22 10:13:29
John Dies at the End,CineLux,2024-09-17 23:57:30
A Girl Walks Home Alone at Night,Starlight Theatre,2024-09-13 00:21:12
Suspiria,Grand View Cinema,2024-09-18 06:02:23
Mr. Magorium's Wonder Emporium,Starlight Theatre,2024-09-21 06:31:19
Lockout,Galaxy Cinema,2024-09-03 09:11:11
Too Many Cooks,CineLux,2024-09-25 12:49:08
Freeheld,Starlight Theatre,2024-09-09 01:34:01
Sideways,Galaxy Cinema,2024-09-08 14:16:20
One Life,Galaxy Cinema,2024-09-08 03:34:49
Half Past Dead,Silver Screen Cinema,2024-08-31 10:50:25
Basic Instinct,Starlight Theatre,2024-09-22 17:26:50
Insurgent,Silver Screen Cinema,2024-09-23 17:32:49
Justice League: Throne of Atlantis,Riviera Cinema,2024-08-30 08:12:36
Exposed,CineStar Plaza,2024-09-25 09:18:13
Transformers,Grand View Cinema,2024-09-04 20:32:59
Freaks,CineLux,2024-09-13 21:02:20
Magnolia,CineLux,2024-09-07 00:53:28
Basic Instinct,CineStar Plaza,2024-09-06 10:59:39
Splice,Regal Cinema,2024-09-03 11:14:36
Sicko,CineLux,2024-09-15 00:27:46
Have Dreams, Will Travel,Riviera Cinema,2024-09-18 13:22:06
Suspiria,Grand View Cinema,2024-09-04 06:21:09
Man on Wire,CineLux,2024-09-19 01:14:07
This Is 40,Galaxy Cinema,2024-09-23 20:46:05
Frida,Silver Screen Cinema,2024-09-14 13:08:23
Shane,CineStar Plaza,2024-09-20 08:53:49
White Elephant,Riviera Cinema,2024-09-21 17:31:53
Body Parts,Silver Screen Cinema,2024-09-14 08:46:53
Shutter Island,Silver Screen Cinema,2024-09-19 05:30:20
No End in Sight,Riviera Cinema,2024-09-14 18:28:43
Che: Part Two,CineStar Plaza,2024-09-01 15:19:26
Back to the Future,CineLux,2024-09-14 21:01:06
G.I. Joe: The Rise of Cobra,Silver Screen Cinema,2024-09-02 17:24:27
Smokin' Aces 2: Assassins' Ball,Galaxy Cinema,2024-09-18 11:40:02
The Captains,Riviera Cinema,2024-09-25 07:42:37
17 Again,Grand View Cinema,2024-09-03 04:27:15
X-Men,Galaxy Cinema,2024-09-13 11:01:59
Magnolia,Silver Screen Cinema,2024-09-09 03:38:00
Distance,Galaxy Cinema,2024-09-01 16:36:29
Hush!,Grand View Cinema,2024-09-24 03:11:00
Armadillo,Regal Cinema,2024-09-16 13:07:21
Divergent,Galaxy Cinema,2024-08-29 06:05:09
Adam,Riviera Cinema,2024-09-13 11:31:07
Bad Santa,Grand View Cinema,2024-09-25 20:05:26
Before Sunrise,Grand View Cinema,2024-09-23 12:31:46
Travellers and Magicians,CineLux,2024-09-10 07:30:31
Greed,Starlight Theatre,2024-09-02 07:13:06
Django Unchained,CineLux,2024-09-16 02:24:26
For Neda,Silver Screen Cinema,2024-09-18 07:23:00
Beowulf & Grendel,Galaxy Cinema,2024-09-09 20:45:13
Beloved,Starlight Theatre,2024-09-21 11:26:45
Django Unchained,Starlight Theatre,2024-09-15 06:23:39
7th Floor,Grand View Cinema,2024-09-11 12:22:24
Siberia,Silver Screen Cinema,2024-08-31 06:08:33
Dog Pound,Galaxy Cinema,2024-09-09 02:27:01
Despicable Me,Riviera Cinema,2024-09-26 17:41:21
Special When Lit,Silver Screen Cinema,2024-09-23 11:24:05
Blazing Saddles,Riviera Cinema,2024-09-12 13:57:39
Max Payne,Galaxy Cinema,2024-08-30 17:30:51
Bottle Shock,Riviera Cinema,2024-09-01 09:53:31
Experimenter,Galaxy Cinema,2024-09-09 07:06:21
Superman/Batman: Apocalypse,Silver Screen Cinema,2024-09-04 10:51:00
Foxcatcher,Regal Cinema,2024-09-09 15:51:47
Natural Selection,CineStar Plaza,2024-09-12 10:50:09
Lost & Found,Riviera Cinema,2024-09-01 01:14:57
Mary Poppins,Starlight Theatre,2024-09-20 00:48:43
Getaway,Riviera Cinema,2024-09-22 00:46:50
Insidious: Chapter 2,CineLux,2024-08-30 19:51:37
Letters from Iwo Jima,Riviera Cinema,2024-08-30 11:10:33
One Shot,Starlight Theatre,2024-09-06 03:38:50
God Bless America,Galaxy Cinema,2024-09-26 19:12:48
Wilde,Regal Cinema,2024-09-19 14:09:09
Little Monsters,Grand View Cinema,2024-09-26 21:46:23
Beyond the Valley of the Dolls,Starlight Theatre,2024-09-04 04:00:30
Walk on Water,Grand View Cinema,2024-08-30 14:49:48
Rabid,Galaxy Cinema,2024-08-30 10:08:48
Little Miss Sunshine,Riviera Cinema,2024-08-30 21:50:17
District 9,Galaxy Cinema,2024-09-22 03:44:18
Van Diemen's Land,Riviera Cinema,2024-09-20 02:45:05
Zero,Riviera Cinema,2024-09-15 08:17:35
The Wedding Ringer,Silver Screen Cinema,2024-08-31 01:06:22
Downhill,CineStar Plaza,2024-09-06 14:01:50
Pain & Gain,Starlight Theatre,2024-09-14 04:16:34
Speed Racer,Grand View Cinema,2024-08-30 00:59:06
Amateur,Galaxy Cinema,2024-09-01 22:50:45
My Girlfriend's Boyfriend,Grand View Cinema,2024-09-14 09:54:51
Magnolia,Grand View Cinema,2024-09-10 01:52:44
Pitch Black,Silver Screen Cinema,2024-09-19 05:16:15
Pokémon the Movie 2000,Regal Cinema,2024-09-18 22:12:41
Ice Age: Dawn of the Dinosaurs,Galaxy Cinema,2024-09-06 13:52:55
Blood and Bone,CineStar Plaza,2024-09-26 20:17:58
Scott Pilgrim vs. the World,Silver Screen Cinema,2024-09-14 09:54:36
It's Kind of a Funny Story,Regal Cinema,2024-09-18 09:13:04
Looking for Eric,CineStar Plaza,2024-09-17 04:04:39
Terminator 2: Judgment Day,Galaxy Cinema,2024-09-09 10:00:54
Tracker,CineLux,2024-09-21 22:01:20
Birdemic: Shock and Terror,Galaxy Cinema,2024-09-22 04:37:57
Ronal the Barbarian,Grand View Cinema,2024-09-10 19:46:05
I Am Ali,CineLux,2024-09-17 06:31:24
Gothika,Silver Screen Cinema,2024-08-30 13:59:32
Narco Cultura,Regal Cinema,2024-09-01 04:25:16
Katyn,Galaxy Cinema,2024-09-10 04:39:39
Nacho Libre,Grand View Cinema,2024-08-31 17:23:57
Fireproof,Regal Cinema,2024-09-23 21:21:41
One Day,CineLux,2024-09-24 21:26:21
Grown Ups 2,Silver Screen Cinema,2024-09-02 23:44:32
Buried,Starlight Theatre,2024-08-30 19:11:15
Never Say Never Again,Riviera Cinema,2024-09-04 21:19:54
Drinking Buddies,Grand View Cinema,2024-09-22 12:35:39
American Splendor,CineLux,2024-09-15 03:44:39
Highlander: The Search for Vengeance,Silver Screen Cinema,2024-09-06 01:20:21
Nacho Libre,Silver Screen Cinema,2024-09-20 02:45:20
Howl,Riviera Cinema,2024-08-29 05:43:13
Ronal the Barbarian,Grand View Cinema,2024-09-19 05:24:31
Cats,Starlight Theatre,2024-09-09 06:07:12
Nude Nuns with Big Guns,CineLux,2024-09-10 09:40:23
Graceland,Starlight Theatre,2024-09-20 21:27:34
Wild Hogs,Riviera Cinema,2024-09-14 05:17:50
Resident Evil: Retribution,Silver Screen Cinema,2024-09-21 06:10:03
TiMER,CineLux,2024-09-04 19:50:59
My Life in Ruins,Grand View Cinema,2024-09-19 00:01:52
Frida,CineStar Plaza,2024-09-26 06:38:25
Frank,Galaxy Cinema,2024-08-31 07:43:07
Source Code,Galaxy Cinema,2024-09-01 12:37:10
Remember Me,Grand View Cinema,2024-09-08 08:55:48
Tangled,Starlight Theatre,2024-09-15 01:50:15
Semi-Pro,CineLux,2024-09-24 07:31:09
Despicable Me,CineStar Plaza,2024-09-21 23:27:03
New Kids Turbo,Grand View Cinema,2024-09-17 04:54:43
Gran Torino,Riviera Cinema,2024-09-16 09:12:08
Tony,CineStar Plaza,2024-09-06 20:06:47
Freaks,Riviera Cinema,2024-09-19 00:03:45
Top Gun,Riviera Cinema,2024-09-13 12:34:56
Swimming Pool,Grand View Cinema,2024-09-19 21:23:27
Firestarter,Riviera Cinema,2024-09-01 21:02:44
Charlie and the Chocolate Factory,CineStar Plaza,2024-09-03 16:12:27
Dreamcatcher,Regal Cinema,2024-09-25 17:11:17
Blue Thunder,CineLux,2024-09-19 20:40:07
Adam,Riviera Cinema,2024-09-18 14:35:02
V for Vendetta,Galaxy Cinema,2024-09-09 08:51:16
ChromeSkull: Laid to Rest 2,Grand View Cinema,2024-09-23 01:46:22
Our Family Wedding,Galaxy Cinema,2024-08-30 23:47:07
Blindness,Regal Cinema,2024-09-24 07:52:30
Touchy Feely,CineStar Plaza,2024-09-18 03:52:19
2-Headed Shark Attack,Grand View Cinema,2024-09-01 10:15:42
Tupac: Resurrection,Starlight Theatre,2024-09-09 15:28:03
Mega Piranha,Riviera Cinema,2024-09-23 14:49:50
Seabiscuit,Starlight Theatre,2024-08-30 18:19:49
Heidi,Galaxy Cinema,2024-09-13 16:17:31
Food, Inc.,Starlight Theatre,2024-09-07 10:58:17
I Spit on Your Grave 2,Grand View Cinema,2024-09-11 01:28:34
Across the Universe,Regal Cinema,2024-08-29 13:11:04
Ballet Shoes,Galaxy Cinema,2024-09-14 14:23:58
Just Go with It,CineStar Plaza,2024-08-29 09:33:32
Midnight Cowboy,Riviera Cinema,2024-08-31 03:30:43
Live and Let Die,Silver Screen Cinema,2024-09-02 03:20:27
Gentlemen Broncos,CineStar Plaza,2024-09-09 14:06:35
Cropsey,Regal Cinema,2024-09-19 01:11:36
Harry Potter and the Deathly Hallows: Part 2,CineLux,2024-09-05 20:37:13
Megamind,CineLux,2024-08-30 07:47:21
Dumbo,Silver Screen Cinema,2024-08-31 06:09:59
Felon,Silver Screen Cinema,2024-09-25 13:42:09
Millions,Silver Screen Cinema,2024-09-04 00:59:35
Notes on a Scandal,Silver Screen Cinema,2024-09-20 12:56:38
Bad Teacher,Galaxy Cinema,2024-09-03 12:47:51
Watchmen,CineStar Plaza,2024-09-17 23:38:21
Paradise Now,CineLux,2024-09-22 19:05:59
Over Her Dead Body,Starlight Theatre,2024-09-10 21:36:20
Bridesmaids,Riviera Cinema,2024-09-08 03:24:02
Police Academy 6: City Under Siege,Regal Cinema,2024-09-26 00:36:11
Righteous Kill,Grand View Cinema,2024-09-20 19:39:57
Dawn of the Planet of the Apes,CineStar Plaza,2024-09-15 22:19:08
Hannah Takes the Stairs,Regal Cinema,2024-09-25 00:34:47
Showtime,Regal Cinema,2024-09-12 01:53:58
If These Walls Could Talk,CineStar Plaza,2024-09-19 01:27:55
High Life,CineStar Plaza,2024-09-21 01:28:11
Winter in Wartime,Riviera Cinema,2024-09-24 15:55:11
Kids in America,Regal Cinema,2024-09-05 19:15:30
Game Change,Starlight Theatre,2024-09-03 20:09:25
Amy,CineLux,2024-09-26 12:58:25
The Boy Next Door,Regal Cinema,2024-09-08 02:31:34
Sex and the City,Grand View Cinema,2024-09-19 01:48:23
Mistress America,CineStar Plaza,2024-09-04 10:14:47
Ice Age,Silver Screen Cinema,2024-09-20 02:02:08
I'm Not There,Riviera Cinema,2024-09-02 13:40:14
Kiss of the Damned,CineStar Plaza,2024-09-01 16:03:05
Moonshot,Riviera Cinema,2024-09-04 21:33:09
Spider-Man 3,Starlight Theatre,2024-09-09 15:50:09
National Security,CineStar Plaza,2024-09-26 18:52:38
Toy Story,Starlight Theatre,2024-09-10 13:39:47
Easy A,Grand View Cinema,2024-09-09 18:19:03
Geography Club,Silver Screen Cinema,2024-09-11 05:59:26
Picnic at Hanging Rock,Regal Cinema,2024-09-08 14:17:49
Ghostbusters II,Regal Cinema,2024-09-08 12:50:53
Lady and the Tramp,Grand View Cinema,2024-09-22 17:06:14
Waking Madison,Grand View Cinema,2024-09-20 01:17:20
L.I.E.,Galaxy Cinema,2024-09-05 23:13:25
Sin City: A Dame to Kill For,Silver Screen Cinema,2024-09-09 18:44:54
Gods and Monsters,CineLux,2024-08-30 20:08:12
Halloween III: Season of the Witch,Riviera Cinema,2024-09-24 17:52:08
Magic Camp,CineStar Plaza,2024-09-08 16:55:28
Fist of Jesus,Silver Screen Cinema,2024-09-15 14:52:26
Millions,CineStar Plaza,2024-09-11 00:58:02
Tideland,Regal Cinema,2024-09-14 05:32:35
It's the Great Pumpkin, Charlie Brown,CineLux,2024-09-16 11:29:29
Bruiser,CineLux,2024-09-18 01:06:33
For Neda,Starlight Theatre,2024-09-18 16:21:35
Extract,Starlight Theatre,2024-09-04 02:31:35
Restrepo,Galaxy Cinema,2024-09-18 13:16:48
Trick 'r Treat,Silver Screen Cinema,2024-09-01 02:10:49
Every Day,CineLux,2024-09-06 06:48:04
Death Race,Riviera Cinema,2024-09-07 20:08:22
Exporting Raymond,Grand View Cinema,2024-09-09 11:17:56
Dead Air,Silver Screen Cinema,2024-09-23 07:20:15
Space Jam,CineLux,2024-09-01 01:04:18
Starman,CineStar Plaza,2024-09-18 09:59:42
Too Many Cooks,Silver Screen Cinema,2024-09-19 14:35:27
The Great Gatsby,CineStar Plaza,2024-09-07 18:30:56
Cropsey,CineStar Plaza,2024-08-30 01:20:38
Enduring Love,CineStar Plaza,2024-09-26 20:12:20
The Raid,Riviera Cinema,2024-09-22 10:26:25
DeadHeads,Riviera Cinema,2024-09-11 15:55:08
22 Jump Street,Riviera Cinema,2024-08-29 19:08:08
Police Academy 6: City Under Siege,Riviera Cinema,2024-09-22 04:47:25
Paperman,CineLux,2024-09-02 17:47:11
Syriana,Silver Screen Cinema,2024-09-19 09:16:44
Magic Mike,CineLux,2024-09-10 06:08:58
Dirty Harry,Starlight Theatre,2024-09-13 12:39:02
Passengers,Galaxy Cinema,2024-09-09 05:40:13
W.,CineStar Plaza,2024-09-14 10:45:48
Amateur,CineStar Plaza,2024-09-01 20:23:15
Longford,Regal Cinema,2024-09-15 21:07:51
Fierce Creatures,Grand View Cinema,2024-09-04 04:23:43
Four Lions,Riviera Cinema,2024-09-20 18:52:15
Armadillo,CineLux,2024-09-02 01:11:22
Tom and Jerry: The Movie,Regal Cinema,2024-09-17 09:31:39
Ratatouille,CineLux,2024-09-09 06:13:31
Missing,Regal Cinema,2024-09-03 01:06:14
Ask Me Anything,Grand View Cinema,2024-09-08 10:43:11
Harry Potter and the Deathly Hallows: Part 2,Grand View Cinema,2024-09-15 21:49:03
Limbo,Regal Cinema,2024-09-18 20:00:09
Salmon Fishing in the Yemen,Galaxy Cinema,2024-09-19 16:40:43
Hugo,Silver Screen Cinema,2024-09-24 20:17:31
Shutter Island,CineStar Plaza,2024-09-10 13:29:17
Dog Tags,Riviera Cinema,2024-08-29 18:52:07
Afflicted,CineLux,2024-09-12 02:37:38
Enduring Love,Galaxy Cinema,2024-09-15 05:28:07
Get Low,CineLux,2024-09-26 14:51:20
Dear White People,Grand View Cinema,2024-09-07 12:03:18
7th Floor,Riviera Cinema,2024-09-08 14:54:12
Hop,CineStar Plaza,2024-09-24 17:47:12
Rings,CineStar Plaza,2024-08-30 02:33:56
Fast Times at Ridgemont High,Grand View Cinema,2024-09-12 02:32:04
Catch and Release,Silver Screen Cinema,2024-09-05 12:44:01
Down in the Valley,Riviera Cinema,2024-09-22 15:02:44
After the Sunset,Galaxy Cinema,2024-09-06 16:27:56
Damsels in Distress,Starlight Theatre,2024-09-20 19:21:03
Snow Day,Starlight Theatre,2024-09-16 03:16:48
My Tutor,Regal Cinema,2024-09-04 00:10:44
The Raid,Galaxy Cinema,2024-09-10 08:08:57
I Hope They Serve Beer in Hell,Galaxy Cinema,2024-09-22 19:27:25
Mr Hublot,Galaxy Cinema,2024-09-23 15:53:22
Crazy, Stupid, Love.,Regal Cinema,2024-09-09 05:50:17
Black Snake Moan,CineLux,2024-09-04 23:12:58
Atlantis: The Lost Empire,CineStar Plaza,2024-09-10 11:42:14
7500,Riviera Cinema,2024-09-20 17:41:42
Memorial Day,CineStar Plaza,2024-09-16 08:25:35
Mr. Nice,Galaxy Cinema,2024-09-05 00:43:15
Dante 01,Regal Cinema,2024-08-30 16:59:30
Seven Days in Utopia,Silver Screen Cinema,2024-09-17 10:09:48
Cats & Dogs,CineStar Plaza,2024-09-10 12:56:19
Surrogates,Grand View Cinema,2024-09-22 20:30:07
Happythankyoumoreplease,CineLux,2024-09-16 12:43:23
Running Time,Silver Screen Cinema,2024-09-06 20:59:17
The Wicker Tree,Galaxy Cinema,2024-08-29 08:15:46
Mars Needs Moms,Grand View Cinema,2024-09-18 19:40:26
Miss Representation,Silver Screen Cinema,2024-09-11 03:00:47
My Sister's Keeper,Grand View Cinema,2024-09-09 06:41:19
Were the World Mine,Galaxy Cinema,2024-09-14 08:42:21
National Treasure: Book of Secrets,Grand View Cinema,2024-09-20 21:22:06
Blood Moon,Regal Cinema,2024-09-12 00:10:01
Jonah Hex,Riviera Cinema,2024-09-01 11:37:23
Antichrist,Silver Screen Cinema,2024-09-06 06:19:12
Brother Bear,Regal Cinema,2024-09-13 04:40:32
Spider-Man 3,Galaxy Cinema,2024-08-29 06:29:19
The End of the Tour,Grand View Cinema,2024-09-19 18:43:05
Bullitt,CineStar Plaza,2024-09-01 05:50:43
Fall,CineLux,2024-09-02 15:55:39
Deck the Halls,Silver Screen Cinema,2024-08-29 13:02:53
Runner Runner,Galaxy Cinema,2024-09-09 20:05:55
Brooklyn,Grand View Cinema,2024-09-11 06:34:57
Fed Up,CineLux,2024-09-24 11:20:47
Adam,Silver Screen Cinema,2024-09-01 21:05:58
On the Ropes,CineLux,2024-09-15 15:48:43
Jennifer's Body,Starlight Theatre,2024-09-21 05:50:08
The Gambler,Grand View Cinema,2024-09-09 01:35:45
This Is England,CineLux,2024-09-09 14:40:05
Why We Fight,Galaxy Cinema,2024-08-31 02:12:55
Sharknado,CineStar Plaza,2024-09-01 14:33:22
Burlesque,CineLux,2024-09-04 21:50:37
He's Just Not That Into You,Silver Screen Cinema,2024-09-11 05:21:16
Teen Beach Movie,Grand View Cinema,2024-09-25 10:35:18
Dick Figures: The Movie,Starlight Theatre,2024-09-15 15:04:01
Dinner for Schmucks,CineStar Plaza,2024-09-06 02:40:30
Dead Within,Silver Screen Cinema,2024-09-07 01:36:38
Getaway,Silver Screen Cinema,2024-09-25 12:25:43
Company,Starlight Theatre,2024-09-11 01:59:58
Tony,Grand View Cinema,2024-09-06 16:13:33
Shall We Dance?,Galaxy Cinema,2024-09-25 06:49:44
30 Days of Night: Dark Days,CineStar Plaza,2024-08-29 02:38:14
Hotel Rwanda,Galaxy Cinema,2024-08-30 00:26:44
Escape from L.A.,Regal Cinema,2024-09-09 16:07:15
We Are What We Are,Riviera Cinema,2024-08-29 08:29:40
Dreamgirls,CineStar Plaza,2024-09-08 10:04:27
What We Do in the Shadows,Grand View Cinema,2024-09-10 20:36:37
Parked,Grand View Cinema,2024-09-23 08:35:55
Predator 2,Regal Cinema,2024-08-30 10:36:25
Strange Days,Starlight Theatre,2024-09-12 12:55:25
Return to Oz,Riviera Cinema,2024-09-26 22:19:42
With Great Power: The Stan Lee Story,Regal Cinema,2024-09-03 01:51:55
Semi-Pro,Regal Cinema,2024-09-06 04:29:48
Phantasm,Silver Screen Cinema,2024-09-12 00:27:50
Mamma Mia!,Grand View Cinema,2024-09-05 22:26:34
Don't Be Afraid of the Dark,Riviera Cinema,2024-09-20 02:21:04
The Wrecking Crew,Silver Screen Cinema,2024-08-31 14:01:25
Paranormal Activity 3,Silver Screen Cinema,2024-09-18 15:11:50
Arthur Christmas,CineStar Plaza,2024-09-09 04:42:15
The Gambler,Starlight Theatre,2024-08-29 11:05:24
The Importance of Being Earnest,Regal Cinema,2024-09-19 02:41:01
Trading Places,Regal Cinema,2024-09-16 07:58:49
Your Sister's Sister,CineLux,2024-08-30 15:03:12
Kids in America,Regal Cinema,2024-09-12 20:23:18
Lymelife,Riviera Cinema,2024-09-24 12:07:48
Star Trek: Nemesis,Riviera Cinema,2024-09-21 22:39:05
Untraceable,CineStar Plaza,2024-09-23 09:16:18
Evita,Galaxy Cinema,2024-09-16 22:45:47
Bedlam,Starlight Theatre,2024-09-01 20:09:34
Silent Hill,Regal Cinema,2024-08-29 20:04:20
THX 1138,CineStar Plaza,2024-09-10 03:36:33
Inherent Vice,Regal Cinema,2024-09-01 16:20:33
Charlie and the Chocolate Factory,Grand View Cinema,2024-09-26 18:55:18
Forgetting Sarah Marshall,Regal Cinema,2024-09-19 21:08:22
Set It Off,Riviera Cinema,2024-09-01 15:17:58
Cujo,CineLux,2024-08-30 21:14:35
Magic Camp,Regal Cinema,2024-08-29 16:29:42
The Kick,Starlight Theatre,2024-08-30 04:37:35
How to Train Your Dragon 2,Silver Screen Cinema,2024-09-23 13:44:38
Travelling Salesman,Regal Cinema,2024-09-01 15:40:24
Grand Isle,Regal Cinema,2024-09-05 14:59:34
Inhale,Regal Cinema,2024-09-02 20:28:11
Meet Dave,CineLux,2024-09-22 12:20:22
City of Industry,Riviera Cinema,2024-09-09 12:18:31
Babysitter Wanted,Riviera Cinema,2024-09-12 04:14:42
House of 1000 Corpses,Silver Screen Cinema,2024-09-08 11:15:53
Mudhoney,Starlight Theatre,2024-09-20 23:53:30
Mr Hublot,Riviera Cinema,2024-09-19 23:41:49
City of Ember,Silver Screen Cinema,2024-09-16 10:44:46
New in Town,CineStar Plaza,2024-09-17 05:12:32
Indiana Jones and the Temple of Doom,Riviera Cinema,2024-08-29 20:38:21
Preaching to the Perverted,Galaxy Cinema,2024-09-15 17:08:48
Good Dick,Silver Screen Cinema,2024-09-11 17:00:59
Loose Change 9/11: An American Coup,Silver Screen Cinema,2024-09-22 05:35:37
Police Academy 6: City Under Siege,Galaxy Cinema,2024-09-20 09:45:32
Police Academy 4: Citizens on Patrol,CineStar Plaza,2024-09-19 10:45:07
Inherent Vice,Regal Cinema,2024-09-17 14:06:04
Cellular,CineStar Plaza,2024-09-08 17:11:23
Blood Moon,Silver Screen Cinema,2024-09-05 20:08:27
The Butterfly Effect 2,Regal Cinema,2024-09-12 00:59:35
Shine a Light,Regal Cinema,2024-09-06 15:04:22
Predator,Galaxy Cinema,2024-09-01 00:41:46
Graceland,Galaxy Cinema,2024-09-05 05:38:24
Twice Upon a Time,Silver Screen Cinema,2024-09-20 17:48:34
American Idiots,Starlight Theatre,2024-09-20 09:58:11
Concussion,Galaxy Cinema,2024-09-21 13:34:37
Bedlam,Starlight Theatre,2024-09-14 14:39:04
Eternal Sunshine of the Spotless Mind,CineLux,2024-08-31 02:07:40
Sita Sings the Blues,CineStar Plaza,2024-09-06 21:06:32
Hotel Transylvania,Galaxy Cinema,2024-09-06 11:41:51
Touchy Feely,Starlight Theatre,2024-09-19 22:37:30
Hancock,Silver Screen Cinema,2024-09-04 04:05:41
Life in a Day,Riviera Cinema,2024-09-16 23:15:52
Heaven Is for Real,Silver Screen Cinema,2024-09-25 19:27:05
Coherence,Galaxy Cinema,2024-09-16 20:09:45
Babysitter Wanted,CineLux,2024-09-25 10:50:46
Happy Endings,CineStar Plaza,2024-08-31 08:46:22
Prince of Darkness,Riviera Cinema,2024-09-22 11:01:09
After the Sunset,CineLux,2024-09-24 03:50:56
300: Rise of an Empire,Starlight Theatre,2024-09-18 08:26:24
The Legend of Sarila,Silver Screen Cinema,2024-09-16 01:10:10
How the West Was Won,Regal Cinema,2024-09-10 16:10:24
You've Been Trumped,CineLux,2024-09-16 23:22:13
Angel Heart,Riviera Cinema,2024-09-19 14:05:02
Married to the Mob,CineLux,2024-09-06 02:31:12
Backdraft,Riviera Cinema,2024-09-05 21:42:57
Clean,Galaxy Cinema,2024-08-29 05:11:24
G-Force,Galaxy Cinema,2024-09-15 04:40:01
This Filthy World,Galaxy Cinema,2024-09-22 22:08:00
Partly Cloudy,Grand View Cinema,2024-09-05 19:32:59
Stowaway,Starlight Theatre,2024-08-30 18:49:49
Over Her Dead Body,Grand View Cinema,2024-09-03 18:27:04
Ultramarines: A Warhammer 40,000 Movie,Regal Cinema,2024-09-24 09:15:35
World War Z,CineStar Plaza,2024-09-24 06:46:41
Grown Ups 2,Riviera Cinema,2024-09-26 20:12:50
Lady Chatterley's Lover,Galaxy Cinema,2024-09-21 13:46:18
Gideon's Army,CineLux,2024-09-20 23:31:26
The Encounter,Galaxy Cinema,2024-09-18 00:31:29
W.E.,Starlight Theatre,2024-09-23 07:00:06
Natural Selection,Silver Screen Cinema,2024-09-11 12:22:33
Speed Racer,CineStar Plaza,2024-09-23 15:11:54
Fantastic Mr. Fox,CineStar Plaza,2024-09-14 03:29:36
Babylon,CineStar Plaza,2024-09-16 18:14:38
Immortals,Riviera Cinema,2024-09-14 21:56:03
Finding Amanda,CineLux,2024-08-31 14:13:31
Orgazmo,Grand View Cinema,2024-09-24 10:09:11
Take Me Home Tonight,Regal Cinema,2024-09-16 02:39:13
Freakonomics,Riviera Cinema,2024-09-07 14:59:16
My Bloody Valentine,Galaxy Cinema,2024-08-30 12:22:34
Hello Ladies: The Movie,Regal Cinema,2024-09-19 03:19:19
Magic Camp,Regal Cinema,2024-09-23 06:05:13
Lupin the 3rd,Galaxy Cinema,2024-09-21 01:39:17
Prom,Grand View Cinema,2024-09-26 10:57:36
Stunt Rock,Silver Screen Cinema,2024-09-19 03:33:02
Natural Selection,Silver Screen Cinema,2024-09-18 07:14:16
Freedomland,Riviera Cinema,2024-09-18 09:51:31
Masculin Féminin,CineStar Plaza,2024-09-04 20:46:54
My Week with Marilyn,Starlight Theatre,2024-09-06 13:53:21
Barefoot,Grand View Cinema,2024-09-04 13:47:05
Manborg,CineStar Plaza,2024-09-07 13:09:21
Piggy,Grand View Cinema,2024-09-06 10:10:59
Artifact,Grand View Cinema,2024-09-06 12:10:05
Captain America: The Winter Soldier,Starlight Theatre,2024-09-01 18:04:55
Heidi Fleiss: Hollywood Madam,Grand View Cinema,2024-08-30 13:03:12
100 Feet,CineStar Plaza,2024-08-29 20:33:14
Southland Tales,Galaxy Cinema,2024-09-03 03:58:30
Hitman,Riviera Cinema,2024-09-05 11:02:17
Stowaway,Starlight Theatre,2024-09-08 23:39:06
Rocky Balboa,Silver Screen Cinema,2024-09-06 04:08:55
Encounters at the End of the World,CineLux,2024-09-15 18:38:17
V/H/S,Galaxy Cinema,2024-09-23 05:42:32
Toy Story 3,Galaxy Cinema,2024-09-22 17:48:38
Goon,Silver Screen Cinema,2024-08-29 19:36:22
Think Like a Man,Starlight Theatre,2024-09-12 18:12:25
The Forest,Regal Cinema,2024-09-05 07:12:50
Chuck Norris vs Communism,Grand View Cinema,2024-09-05 10:18:37
Fantasia,CineLux,2024-09-10 18:06:54
Evil Dead,Starlight Theatre,2024-09-21 18:17:27
Snow White and the Seven Dwarfs,Riviera Cinema,2024-09-05 05:22:55
Disaster Movie,CineStar Plaza,2024-09-10 02:01:35
Kill List,Regal Cinema,2024-08-31 22:42:42
Surrogates,Starlight Theatre,2024-09-15 01:40:06
Bloodsucking Freaks,Regal Cinema,2024-09-26 22:08:26
DeadHeads,Regal Cinema,2024-09-23 03:14:35
Blindman,CineLux,2024-09-26 03:35:38
Gods and Monsters,CineLux,2024-09-10 15:43:03
Lake Mungo,CineStar Plaza,2024-09-09 16:57:57
Rob the Mob,Regal Cinema,2024-09-23 10:33:13
Diner,Riviera Cinema,2024-08-31 15:14:09
Think Like a Man,Silver Screen Cinema,2024-09-14 13:32:59
